id,latitude,longitude
92482,41.712639,-87.878151
92479,36.744487,24.423603
92478,21.878717,-159.46018
92477,21.878717,-159.46018
92476,21.878717,-159.46018
92475,21.878717,-159.46018
92474,21.878717,-159.46018
92473,21.878717,-159.46018
92472,21.878717,-159.46018
92471,21.878717,-159.46018
92469,21.878717,-159.46018
92468,21.459325,-157.973881
92461,43.983197,-91.315563
92460,60.69753,-0.986808
92457,28.550737,-81.337418
92453,15.130554,101.017826
92446,36.744487,24.423603
92445,45.438108,12.318166
92444,31.924895,85.787609
92443,13.753343,100.504826
92440,43.782364,11.254983
92439,53.348069,-6.248268
92438,53.348069,-6.248268
92437,53.348069,-6.248268
92436,44.156949,9.682599
92435,53.348069,-6.248268
92434,53.348069,-6.248268
92430,51.506426,-0.127183
92429,51.506426,-0.127183
92428,44.156949,9.682599
92427,51.506426,-0.127183
92419,22.058039,-159.524328
92409,45.438108,12.318166
92406,43.529151,12.16203
92404,41.619771,44.985968
92403,45.438108,12.318166
92401,44.156949,9.682599
92398,41.903044,12.495799
92397,36.398259,25.436166
92396,45.140101,16.427977
92394,43.529151,12.16203
92393,45.140101,16.427977
92392,45.140101,16.427977
92391,45.140101,16.427977
92390,45.140101,16.427977
92389,45.140101,16.427977
92388,25.738394,92.88015
92387,22.058039,-159.524328
92385,41.903044,12.495799
92384,45.468936,9.181025
92382,41.850476,-87.954723
92380,59.917308,23.05519
92378,52.373085,4.893276
92364,51.506426,-0.127183
92363,51.506426,-0.127183
92359,51.506426,-0.127183
92356,-29.047318,153.24806
92354,-29.047318,153.24806
92353,-29.047318,153.24806
92347,40.717846,-111.882914
92331,32.715689,-117.16172
92330,45.881658,-84.725388
92325,50.864068,-0.835379
92320,33.815467,-117.923689
92319,52.710205,-8.882218
92317,38.434489,-122.713883
92316,40.714545,-74.007112
92314,52.93192,-9.345884
92313,10.542866,-84.452722
92311,51.914005,-8.172522
92310,10.542866,-84.452722
92308,3.887219,72.816089
92307,53.348069,-6.248268
92306,12.509208,-69.970325
92303,43.782364,11.254983
92301,41.902454,12.458384
92297,36.398259,25.436166
92296,19.940287,-155.788765
92295,19.899098,-155.127506
92294,32.505804,-80.804035
92291,21.27673,-157.828183
92286,35.230697,24.845487
92285,35.230697,24.845487
92284,40.367903,-3.482175
92283,38.298853,-122.285216
92279,33.679084,-116.175945
92278,33.728908,-116.380311
92277,33.679084,-116.175945
